,,,,,,,,,,,,,
CONFIDENTIAL DRAFT - FOR DISCUSSION PURPOSES ONLY,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Genesis I (BVI),0xf3342d2740622B001558AC632A4FE3383772EEEd,,,,,,,,,
,,,Genesis II (Fdn),0xC511541a041616F15E129C064E6bBCDb5cBA14d6,,,,,,,,,
,,,Grayscale,0xce1eF60a9A4829D4EF5542D34f9ea7b95ce0C833,,,,,TRUE,,,,
,,,Toku multisig (x2B),0x9e2d915F6c10bD33F8b5f2eE155c9F76c2486E9B,,,,,Unique 102,,,,
,Indiv 113,,,,,100.0000%,"5,000,000,000",5.00E+27,Indiv 113,,26,18,17
,Segment,Wallet ID,Delivery Status,TGE Destination,Final Destination,%,SXT, attoSXT,TGE Address,Etherscan Link,ethBalance,sxtBalance,
,Team,Wolf Trap,Delivered,Anchorage,Anchorage,0.4140%,"20,698,667",2.07E+25,0xD8098987D96eEa3D8c09856cE36c2F79EF1c99b9,View on Etherscan,Loading...,Loading...,Loading...
,Team,Smokey Mountains,Delivered,Anchorage,Anchorage,0.4331%,"21,655,667",2.17E+25,0x24138fe7B8A9Aa438694A3e715275665Ab02745A,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,Vermont,Delivered,Anchorage,Anchorage,0.4393%,"21,963,633",2.20E+25,0x577E7108c9eA4CC596f064b22503eB3Ff4e6499d,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Massachusetts,Delivered,Anchorage,Anchorage,0.4490%,"22,451,451",2.25E+25,0xA6F307E0E81C2da3951AfFc636C113169c19B6Ec,View on Etherscan,Loading...,Loading...,Loading...
,Team,Joshua Tree,Delivered,Anchorage,Anchorage,0.4517%,"22,585,789",2.26E+25,0x5Bf6f7b036f2593Df1E79eeC8067d00784F0E8Cf,View on Etherscan,Loading...,Error: NOTOK,FALSE
,Team,Missouri,Delivered,Anchorage,Anchorage,0.4532%,"22,658,888",2.27E+25,0x8e3EFC27b6384d700971022d208CA9a867B04F65,View on Etherscan,Error: NOTOK,Loading...,Loading...
,Team,California,Delivered,Anchorage,Anchorage,0.4667%,"23,333,621",2.33E+25,0x13A6a2F2A15503D8997C4EB4bAA8c89b686b62d9,View on Etherscan,Loading...,Loading...,Loading...
,Team,West Virginia,Delivered,Anchorage,Anchorage,0.4992%,"24,958,789",2.50E+25,0x0E233B305BbD13AEc2327Ba03841Cb291Bb032D5,View on Etherscan,Loading...,Loading...,Loading...
,Team,Death Valley,Delivered,Anchorage,Anchorage,0.5400%,"26,999,723",2.70E+25,0xeFb6629fB076D1C0737aF58Fc275F4acCa2E3C9e,View on Etherscan,Loading...,Loading...,Loading...
,Team,Channel Islands,Delivered,Anchorage,Anchorage,0.5731%,"28,656,369",2.87E+25,0x6d5637C16590eC064baC8e156885083DDfE1aCDD,View on Etherscan,Loading...,Loading...,Loading...
